cat,month,n,no,ng,S_all,recon,resid,SA,SB,D,pi
cs.HC,2025-11,50,30,20,1.228866666840904,1.2288666668409038,2.220446049250313e-16,1.2398171960510327,1.1968609407263138,1.231062679766514,0.4
cs.HC,2025-12,50,33,17,1.234025652955855,1.234025652955855,0.0,1.2480540365827042,1.1768405074555053,1.2346855339417215,0.34
cs.IR,2023-11,50,39,11,1.1160689554829522,1.1160689554829522,0.0,1.1306439850100432,1.034824212799226,1.1013098971333726,0.22
cs.IR,2024-02,50,36,14,1.1487053046879536,1.1487053046879536,0.0,1.1624719437343871,1.0645001264582008,1.1467007186158393,0.28
cs.IR,2024-03,50,34,16,1.1137452240887946,1.1137452240887946,0.0,1.1425093038333591,1.0318047893202182,1.1021573627570458,0.32
cs.IR,2024-04,50,30,20,1.1110229418763369,1.1110229418763367,2.220446049250313e-16,1.1072899279080544,1.0700030613056526,1.126719005850725,0.4
cs.IR,2024-05,50,34,16,1.123994832119107,1.1239948321191067,2.220446049250313e-16,1.1276633018730802,1.083849304577033,1.1290673537607792,0.32
cs.IR,2024-06,50,35,15,1.1128360838153977,1.1128360838153974,2.220446049250313e-16,1.143534716966448,0.9765330786057995,1.10530490061946,0.3
cs.IR,2024-07,50,39,11,1.1198496610059616,1.1198496610059616,0.0,1.1268309181514615,1.0397887219058917,1.1180553488980094,0.22
cs.IR,2024-08,50,36,14,1.0939942002751262,1.0939942002751262,0.0,1.1093832174945661,1.0118123013837532,1.0895963271617688,0.28
cs.IR,2024-09,50,33,17,1.104843632798593,1.1048436327985929,2.220446049250313e-16,1.1123005900157064,1.0512508324965382,1.1108175141362822,0.34
cs.IR,2024-10,50,33,17,1.1107024926177558,1.1107024926177558,0.0,1.1388280458274838,1.0101525405816985,1.1086071296626174,0.34
cs.IR,2024-11,50,33,17,1.1257914474315367,1.1257914474315371,-4.440892098500626e-16,1.1376148741754517,1.0687633583651879,1.1284885076672526,0.34
cs.IR,2024-12,50,31,19,1.0976190333452496,1.0976190333452496,0.0,1.1222441763196336,1.0248615393299227,1.0993012744208563,0.38
cs.IR,2025-01,50,39,11,1.1609887797542873,1.1609887797542873,0.0,1.163796486584252,1.1197149076456805,1.1614306263859178,0.22
cs.IR,2025-02,50,27,23,1.0914685134229594,1.0914685134229596,-2.220446049250313e-16,1.1275974722796405,1.0279202457981071,1.0969378325057173,0.46
cs.IR,2025-03,50,28,22,1.0678331740351306,1.0678331740351308,-2.220446049250313e-16,1.0964064240315892,0.978403833880583,1.0838355913679867,0.44
cs.IR,2025-04,50,24,26,1.1284606883716617,1.128460688371662,-2.220446049250313e-16,1.1699629539763339,1.0570059886444414,1.1473199064877788,0.52
cs.IR,2025-05,50,27,23,1.1078617029722824,1.1078617029722824,0.0,1.1512912364334023,1.0352973299885628,1.1128778384312648,0.46
cs.IR,2025-06,50,31,19,1.1006049601623324,1.1006049601623322,2.220446049250313e-16,1.1224952461471285,1.0137768809911387,1.1085313074549363,0.38
cs.IR,2025-07,50,27,23,1.1191492005244406,1.1191492005244408,-2.220446049250313e-16,1.1302711611936642,1.0778777316933064,1.1296771770451808,0.46
cs.IR,2025-08,50,22,28,1.104477505551074,1.1044775055510743,-2.220446049250313e-16,1.0947548835352452,1.0771168044937012,1.124913009910398,0.56
cs.IR,2025-09,50,25,25,1.0983454946780762,1.0983454946780764,-2.220446049250313e-16,1.1348992639961306,1.0325710991870918,1.1123713952410827,0.5
cs.IR,2025-10,50,27,23,1.1109654723948768,1.1109654723948765,2.220446049250313e-16,1.125787347004732,1.0676125828862524,1.1202501794119823,0.46
cs.IR,2025-11,50,32,18,1.0973331123830494,1.0973331123830494,0.0,1.1132450421151165,1.0409905330990419,1.098597170513862,0.36
cs.IR,2025-12,50,25,25,1.0984988431015579,1.098498843101558,-2.220446049250313e-16,1.080703405014141,1.079559564851612,1.116131506943492,0.5
cs.LG,2023-10,50,40,10,1.1865393654492373,1.186539365449237,2.220446049250313e-16,1.1902645480832983,1.1215058848103594,1.1865915258846922,0.2
cs.LG,2024-07,50,40,10,1.1865407998349473,1.186540799834947,2.220446049250313e-16,1.1962394924689068,1.1092403991621278,1.1763246442744184,0.2
cs.LG,2024-09,50,40,10,1.194868497260667,1.194868497260667,0.0,1.1950908118081554,1.1574525288687287,1.1986442803371578,0.2
cs.LG,2025-01,50,38,12,1.185958341775778,1.185958341775778,0.0,1.1855071475026981,1.1614866442117606,1.190195889173147,0.24
cs.LG,2025-02,50,40,10,1.2153879214064387,1.215387921406439,-2.220446049250313e-16,1.2155362738427171,1.1870861571763636,1.21828258263158,0.2
cs.LG,2025-03,50,39,11,1.1963626474583486,1.1963626474583486,0.0,1.1902257585554423,1.1717843331260682,1.2101137942306772,0.22
cs.LG,2025-04,50,40,10,1.182922688893565,1.1829226888935649,2.220446049250313e-16,1.1902400172101457,1.1081871719970933,1.1770616443270858,0.2
cs.LG,2025-05,50,38,12,1.1798812224261843,1.1798812224261843,0.0,1.1832785072064638,1.0802762778888537,1.1890602468536569,0.24
cs.LG,2025-06,50,34,16,1.161007903366211,1.1610079033662113,-2.220446049250313e-16,1.1769079733073924,1.1013618657190622,1.1577681704262393,0.32
cs.LG,2025-09,50,34,16,1.1919788573899432,1.1919788573899432,0.0,1.1812606697453425,1.1942226123185302,1.2025370424583082,0.32
cs.LG,2025-10,50,34,16,1.19864408360254,1.19864408360254,0.0,1.2074395557924718,1.1523331711908782,1.199789395350422,0.32
cs.LG,2025-11,50,40,10,1.2092632224117796,1.2092632224117796,0.0,1.2195858572604836,1.1145439614487325,1.1997900013151495,0.2
cs.MA,2024-10,50,34,16,1.1668818937100336,1.1668818937100338,-2.220446049250313e-16,1.160597559346044,1.1066786605514702,1.186642738484346,0.32
cs.MA,2024-11,40,30,10,1.149548969891966,1.149548969891966,0.0,1.1529053816693207,1.0669149885232216,1.1570772700201133,0.25
cs.MA,2025-02,50,37,13,1.1237441914817776,1.1237441914817774,2.220446049250313e-16,1.1241195959263575,1.0708526502507338,1.131801407398474,0.26
cs.MA,2025-03,50,34,16,1.1341702355114551,1.1341702355114551,0.0,1.1257085296607918,1.0695407305517786,1.1571528781169391,0.32
cs.MA,2025-04,50,34,16,1.188000142126083,1.188000142126083,0.0,1.2151637620406108,1.0774682824802937,1.184369686952268,0.32
cs.MA,2025-05,50,28,22,1.131732721570698,1.1317327215706983,-2.220446049250313e-16,1.1349080870492354,1.0625512139122073,1.1557272672171661,0.44
cs.MA,2025-06,50,31,19,1.1393736925411755,1.1393736925411755,0.0,1.1637118358787089,1.0489760006490636,1.1464038600481334,0.38
cs.MA,2025-07,50,26,24,1.135013964135052,1.135013964135052,0.0,1.1435837619189544,1.062546537443054,1.1626034280568842,0.48
cs.MA,2025-08,50,35,15,1.1145391405225193,1.1145391405225193,0.0,1.1162806717785154,1.0458185757635832,1.1263095180508444,0.3
cs.MA,2025-09,50,29,21,1.1647817127454652,1.1647817127454654,-2.220446049250313e-16,1.162270143011565,1.1037902536438098,1.1874876301893262,0.42
cs.MA,2025-10,50,30,20,1.1295793246548804,1.1295793246548804,0.0,1.1365125413932256,1.0844263661794167,1.1388511793701435,0.4
cs.MA,2025-11,50,29,21,1.1338140586030616,1.1338140586030616,0.0,1.1326251296339318,1.0511558119541557,1.1631095215878513,0.42
cs.MA,2025-12,50,21,29,1.1348237490085962,1.1348237490085962,0.0,1.1673800379676476,1.0868464297092804,1.1555823220038695,0.58
cs.MM,2025-04,39,29,10,1.145597441445586,1.1455974414455863,-2.220446049250313e-16,1.1490506406638985,1.072650979552287,1.1520822411095988,0.2564102564102564
cs.MM,2025-06,40,30,10,1.1772360203625722,1.1772360203625725,-2.220446049250313e-16,1.185690771899087,1.1138648223040095,1.1744823103434106,0.25
cs.MM,2025-08,46,33,13,1.1565442147927343,1.156544214792734,2.220446049250313e-16,1.1624682101187946,1.1186029882643267,1.1561515484455454,0.2826086956521739
cs.MM,2025-11,36,24,12,1.151919577735065,1.151919577735065,0.0,1.1638870237442462,1.1200583431360638,1.147752308238537,0.3333333333333333
cs.MM,2025-12,28,18,10,1.1677700630073289,1.167770063007329,-2.220446049250313e-16,1.2047651158590047,1.0859437442339588,1.1567808477767476,0.35714285714285715
cs.NI,2025-08,50,38,12,1.157794591650349,1.157794591650349,0.0,1.168765417985309,1.063530718677627,1.1545246896826353,0.24
cs.RO,2024-02,50,40,10,1.168461419771017,1.1684614197710168,2.220446049250313e-16,1.1895645697621633,0.9493610076345302,1.151959073653636,0.2
cs.SD,2024-12,50,40,10,1.0894972473260542,1.0894972473260545,-2.220446049250313e-16,1.084982296923652,1.054757487134142,1.1022096236323293,0.2
cs.SD,2025-03,50,37,13,1.0819187866523496,1.0819187866523496,0.0,1.1042419759386057,0.9897639905469513,1.065953776322983,0.26
cs.SD,2025-05,50,36,14,1.0717837511718336,1.0717837511718336,0.0,1.0746377208722278,1.0468251185744402,1.0727227088208702,0.28
cs.SD,2025-11,50,38,12,1.0750504354697545,1.0750504354697545,0.0,1.0815281084308959,1.0450613495085987,1.069404548587636,0.24
