row_id,topic_cluster
3013,-1
3015,-1
3017,3
3019,-1
3020,-1
3021,-1
3022,3
3023,-1
3026,-1
3029,3
3031,-1
3035,-1
3036,3
3038,-1
3040,-1
3041,-1
3042,-1
3043,-1
3049,-1
3050,3
3051,-1
3053,-1
3056,-1
3057,-1
3058,3
3059,-1
3062,-1
3063,3
3065,-1
3067,-1
3068,-1
3069,-1
3070,-1
3071,-1
3072,-1
3076,3
3079,-1
3082,-1
3083,3
3084,3
3085,-1
3086,-1
3087,-1
3088,3
3089,-1
3091,-1
3093,0
3095,-1
3096,-1
3097,3
3099,-1
3100,-1
3101,3
3102,-1
3103,-1
3104,3
3105,-1
3106,-1
3107,3
3108,3
3110,-1
3111,-1
3113,3
3115,-1
3117,-1
3120,-1
3121,3
3125,-1
3127,-1
3128,-1
3130,-1
3131,3
3133,3
3134,-1
3135,-1
3136,-1
3140,3
3141,-1
3142,-1
3143,3
3144,-1
3145,-1
3146,-1
3147,3
3149,-1
3150,-1
3153,-1
3154,3
3155,-1
3157,3
3158,-1
3160,-1
3161,-1
3162,-1
3163,-1
3164,-1
3165,-1
3166,3
3167,-1
3168,-1
3170,-1
3173,-1
3175,3
3176,-1
3177,3
3178,-1
3185,-1
3186,3
3187,-1
3188,3
3190,3
3191,3
3192,3
3193,3
3195,-1
3196,3
3197,3
3200,3
3203,-1
3206,3
3207,3
3209,-1
3210,3
3211,-1
3213,3
3214,-1
3215,-1
3217,-1
3218,3
3219,-1
3220,-1
3223,-1
3224,-1
3225,-1
3226,-1
3229,3
3230,-1
3232,3
3233,-1
3234,-1
3235,-1
3236,3
3237,-1
3239,-1
3240,-1
3241,-1
3242,-1
3243,-1
3244,-1
3246,3
3247,-1
3248,-1
3251,-1
3254,-1
3255,-1
3260,-1
3261,3
3262,-1
3264,-1
3265,3
3266,-1
3267,-1
3269,3
3270,3
3272,-1
3273,-1
3276,-1
3277,3
3278,-1
3279,-1
3280,-1
3281,-1
3282,-1
3283,3
3284,-1
3285,-1
3287,-1
3289,-1
3290,-1
3291,-1
3293,-1
3294,3
3295,-1
3296,-1
3297,-1
3299,-1
3300,-1
3301,-1
3302,-1
3303,-1
3304,3
3305,3
3306,-1
3307,-1
3309,-1
3310,-1
3312,-1
3313,-1
3315,3
3316,3
3317,-1
3318,2
3319,-1
3321,3
3322,3
3324,-1
3327,-1
3328,3
3329,-1
3330,3
3331,-1
3333,3
3335,-1
3336,3
3337,3
3339,-1
3342,-1
3344,-1
3345,3
3346,-1
3347,-1
3349,-1
3353,-1
3355,-1
3356,1
3358,-1
3361,-1
3362,3
3363,-1
3364,3
3366,3
3369,-1
3371,-1
3372,3
3374,-1
3375,3
3376,-1
3377,-1
3378,-1
3381,-1
3382,3
3383,-1
